Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Gesamt_Fehlwerte;Beschreibung;eor;                                                                                                              
1346;Feldberg/Schwarzwald;F;01.01.1955;02.04.2024;2698;Gesamt_Messzeitraum;eor;                                                                                                                         
1346;Feldberg/Schwarzwald;D;01.01.1955;02.04.2024;2705;Gesamt_Messzeitraum;eor;                                                                                                                         
Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
1346;Feldberg/Schwarzwald;F;04.06.1986-01:00;04.06.1986-03:00;3;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;05.06.1986-23:00;06.06.1986-04:00;6;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;27.06.1986-06:00;27.06.1986-09:00;4;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;14.06.1987-22:00;15.06.1987-03:00;6;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;15.06.1987-22:00;16.06.1987-03:00;6;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;16.06.1987-22:00;17.06.1987-03:00;6;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;17.06.1987-22:00;18.06.1987-03:00;6;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;18.06.1987-22:00;19.06.1987-03:00;6;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;19.06.1987-22:00;20.06.1987-03:00;6;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;20.06.1987-22:00;21.06.1987-03:00;6;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;21.06.1987-22:00;22.06.1987-02:00;5;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;23.06.1987-01:00;23.06.1987-02:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;24.06.1987-01:00;24.06.1987-02:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;25.06.1987-01:00;25.06.1987-02:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;26.06.1987-01:00;26.06.1987-02:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;27.06.1987-01:00;27.06.1987-02:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;28.06.1987-01:00;28.06.1987-02:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;29.06.1987-01:00;29.06.1987-02:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;30.06.1987-01:00;30.06.1987-02:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;16.06.1988-12:00;16.06.1988-14:00;3;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;02.08.1988-01:00;02.08.1988-02:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;23.09.1988-01:00;23.09.1988-03:00;3;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;23.09.1988-22:00;24.09.1988-03:00;6;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;29.09.1988-22:00;30.09.1988-03:00;6;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;07.06.1989-01:00;07.06.1989-07:00;7;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;21.06.1989-23:00;22.06.1989-02:00;4;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;23.08.1989-07:00;23.08.1989-08:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;23.09.1989-23:00;24.09.1989-07:00;9;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;04.11.1989-00:00;04.11.1989-04:00;5;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;04.11.1989-22:00;05.11.1989-04:00;7;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;05.11.1989-22:00;06.11.1989-04:00;7;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;06.11.1989-22:00;07.11.1989-04:00;7;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;07.11.1989-22:00;08.11.1989-04:00;7;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;20.11.1989-22:00;21.11.1989-04:00;7;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;21.11.1989-22:00;22.11.1989-04:00;7;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;22.11.1989-22:00;23.11.1989-04:00;7;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;23.11.1989-22:00;24.11.1989-04:00;7;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;24.11.1989-22:00;25.11.1989-04:00;7;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;25.11.1989-22:00;26.11.1989-04:00;7;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;26.11.1989-22:00;27.11.1989-04:00;7;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;27.11.1989-22:00;28.11.1989-04:00;7;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;09.01.1990-23:00;10.01.1990-05:00;7;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;27.02.1990-02:00;27.02.1990-05:00;4;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;01.03.1990-03:00;01.03.1990-04:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;06.06.1990-00:00;06.06.1990-03:00;4;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;09.06.1990-15:00;09.06.1990-17:00;3;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;24.09.1990-00:00;24.09.1990-03:00;4;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;18.10.1990-01:00;18.10.1990-06:00;6;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;02.01.1991-13:00;02.01.1991-17:00;5;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;02.01.1991-19:00;16.01.1991-13:00;331;;eor;                                                                                                                                 
1346;Feldberg/Schwarzwald;F;22.01.1991-10:00;22.01.1991-10:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;23.02.1991-00:00;23.02.1991-04:00;5;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;16.06.1991-00:00;16.06.1991-04:00;5;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;09.07.1991-15:00;09.07.1991-16:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;11.09.1991-09:00;11.09.1991-12:00;4;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;16.09.1991-00:00;16.09.1991-06:00;7;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;15.11.1991-14:00;15.11.1991-22:00;9;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;01.12.1991-00:00;01.12.1991-01:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;16.12.1991-06:00;16.12.1991-07:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;31.12.1991-08:00;31.12.1991-19:00;12;;eor;                                                                                                                                  
1346;Feldberg/Schwarzwald;F;01.01.1992-00:00;01.01.1992-00:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;09.01.1992-21:00;11.01.1992-12:00;40;;eor;                                                                                                                                  
1346;Feldberg/Schwarzwald;F;12.01.1992-00:00;12.01.1992-02:00;3;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;12.01.1992-05:00;12.01.1992-05:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;16.01.1992-02:00;16.01.1992-03:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;31.01.1992-04:00;31.01.1992-12:00;9;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;01.02.1992-00:00;01.02.1992-00:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;15.02.1992-19:00;16.02.1992-06:00;12;;eor;                                                                                                                                  
1346;Feldberg/Schwarzwald;F;01.03.1992-00:00;01.03.1992-00:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;31.03.1992-12:00;31.03.1992-15:00;4;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;01.04.1992-00:00;01.04.1992-00:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;01.05.1992-00:00;01.05.1992-00:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;16.05.1992-09:00;31.05.1992-17:00;369;;eor;                                                                                                                                 
1346;Feldberg/Schwarzwald;F;16.06.1992-01:00;16.06.1992-22:00;22;;eor;                                                                                                                                  
1346;Feldberg/Schwarzwald;F;01.07.1992-00:00;01.07.1992-00:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;09.07.1992-16:00;09.07.1992-19:00;4;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;01.08.1992-00:00;01.08.1992-00:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;01.08.1992-12:00;01.08.1992-12:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;16.08.1992-04:00;17.08.1992-12:00;33;;eor;                                                                                                                                  
1346;Feldberg/Schwarzwald;F;26.08.1992-14:00;26.08.1992-14:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;01.09.1992-00:00;01.09.1992-00:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;16.09.1992-14:00;16.09.1992-14:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;01.10.1992-00:00;01.10.1992-00:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;01.11.1992-00:00;01.11.1992-00:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;01.12.1992-00:00;01.12.1992-00:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;01.01.1993-00:00;01.01.1993-00:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;01.05.1993-00:00;01.05.1993-00:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;01.06.1993-00:00;01.06.1993-00:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;01.07.1993-00:00;01.07.1993-00:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;05.07.1993-21:00;15.07.1993-07:00;227;;eor;                                                                                                                                 
1346;Feldberg/Schwarzwald;F;29.06.1994-13:00;29.06.1994-15:00;3;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;20.10.1995-23:00;21.10.1995-04:00;6;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;25.10.1995-22:00;26.10.1995-04:00;7;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;05.10.1996-00:00;05.10.1996-03:00;4;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;26.02.1997-00:00;26.02.1997-01:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;14.09.1999-12:00;14.09.1999-13:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;03.12.1999-04:00;03.12.1999-04:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;26.12.1999-12:00;26.12.1999-12:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;02.02.2000-00:00;02.02.2000-07:00;8;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;06.10.2003-06:00;06.10.2003-06:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;19.10.2003-00:00;19.10.2003-00:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;21.10.2003-18:00;21.10.2003-18:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;29.10.2003-18:00;29.10.2003-18:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;08.01.2004-12:00;08.01.2004-12:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;18.01.2004-06:00;18.01.2004-06:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;20.01.2004-08:00;20.01.2004-09:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;21.01.2004-10:00;21.01.2004-11:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;28.01.2004-11:00;28.01.2004-12:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;03.02.2004-11:00;03.02.2004-11:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;07.02.2004-18:00;07.02.2004-18:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;10.02.2004-12:00;10.02.2004-12:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;26.04.2004-12:00;26.04.2004-12:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;14.05.2004-09:00;14.05.2004-10:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;16.05.2004-01:00;16.05.2004-01:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;20.05.2004-01:00;20.05.2004-01:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;02.06.2004-13:00;02.06.2004-13:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;30.06.2004-08:00;30.06.2004-08:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;15.09.2004-03:00;15.09.2004-03:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;30.09.2004-07:00;30.09.2004-11:00;5;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;07.11.2004-18:00;07.11.2004-18:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;08.11.2004-06:00;08.11.2004-06:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;13.11.2004-21:00;13.11.2004-21:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;16.11.2004-13:00;16.11.2004-13:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;18.11.2004-18:00;18.11.2004-18:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;26.11.2004-04:00;26.11.2004-05:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;29.11.2004-21:00;29.11.2004-21:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;14.12.2004-05:00;14.12.2004-05:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;25.01.2005-08:00;25.01.2005-08:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;27.01.2005-11:00;27.01.2005-13:00;3;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;16.02.2005-06:00;16.02.2005-06:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;20.02.2005-06:00;20.02.2005-06:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;11.04.2005-11:00;11.04.2005-11:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;14.04.2005-10:00;14.04.2005-10:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;23.04.2005-18:00;23.04.2005-18:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;03.06.2005-12:00;03.06.2005-12:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;12.07.2005-10:00;12.07.2005-10:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;26.07.2005-19:00;26.07.2005-19:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;29.07.2005-17:00;30.07.2005-13:00;21;;eor;                                                                                                                                  
1346;Feldberg/Schwarzwald;F;30.07.2005-23:00;30.07.2005-23:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;31.07.2005-01:00;31.07.2005-02:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;31.07.2005-08:00;31.07.2005-08:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;31.07.2005-11:00;31.07.2005-12:00;2;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;31.07.2005-14:00;31.07.2005-14:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;01.08.2005-01:00;01.08.2005-03:00;3;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;01.08.2005-10:00;01.08.2005-10:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;01.09.2005-18:00;01.09.2005-18:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;08.09.2005-11:00;08.09.2005-11:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;11.09.2005-19:00;11.09.2005-19:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;25.09.2005-06:00;25.09.2005-06:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;26.09.2005-11:00;26.09.2005-11:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;05.10.2005-10:00;05.10.2005-10:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;10.11.2005-18:00;10.11.2005-18:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;12.11.2005-21:00;12.11.2005-21:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;16.11.2005-18:00;16.11.2005-18:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;20.11.2005-18:00;20.11.2005-18:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;21.11.2005-11:00;21.11.2005-11:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;01.12.2005-23:00;01.12.2005-23:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;04.12.2005-00:00;04.12.2005-00:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;10.12.2005-18:00;10.12.2005-18:00;1;;eor;                                                                                                                                   
1346;Feldberg/Schwarzwald;F;11.12.2005-00:00;11.12.2005-00:00;1;;eor;                                                                                                                                   
